wavs/9-7-18 clem interviewed by tara_1.wav-00071910_00075420.wav|BIH0KAO1Z YUW1 WIH1L NOW1 DHAE1T AY1 WIH1L BIY1 VEH1RIY0 VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 .
wavs/9-7-18 clem interviewed by tara_1.wav-00072450_00080310.wav|WIH1L NOW1 DHAE1T AY1 WIH1L BIY1 VEH1RIY0 VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00073500_00080310.wav|BIY1 VEH1RIY0 VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00072870_00080310.wav|AY1 WIH1L BIY1 VEH1RIY0 VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00072870_00080310.wav|DHAE1T AY1 WIH1L BIY1 VEH1RIY0 VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00073830_00080310.wav|VEH1RIY0 VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00076590_00080310.wav|YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00074400_00080310.wav|AH0PSEH1T IH1F YUW1 DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00072330_00080310.wav|YUW1 WIH1L NOW1 DHAE1T AY1 WIH1L BIY1 VEH1RIY0 VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00075150_00080310.wav|DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00073200_00080310.wav|WIH1L BIY1 VEH1RIY0 VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00074910_00080310.wav|YUW1 DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00072600_00080310.wav|NOW1 DHAE1T AY1 WIH1L BIY1 VEH1RIY0 VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
